Tabelle: 61243-0005
Strompreise für Nicht-Haushalte: Deutschland, Halbjahre,;;;
Jahresverbrauchsklassen, Preisarten;;;
Durchschnittspreise für Strom und Gas;;;;;;
Deutschland;;;;;;
;Strompreise für Nicht-Haushalte;;;;;
;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;;Durchschnittspreise ohne Umsatzsteuer u.a. abz.St.;;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;
;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh
2019;;;;;;
1. Halbjahr;;;;;;
unter 20 MWh;-;;-;;-;
20 bis unter 500 MWh;-;;-;;-;
500 bis unter 2 000 MWh;-;;-;;-;
2 000 bis unter 20 000 MWh;-;;-;;-;
20 000 bis unter 70 000 MWh;-;;-;;-;
70 000 bis unter 150 000 MWh;-;;-;;-;
150 000 MWh und mehr;-;;-;;-;
Insgesamt;-;;-;;-;
2. Halbjahr;;;;;;
unter 20 MWh;0,1207;e;0,2289;e;0,2724;e
20 bis unter 500 MWh;0,0872;e;0,1863;e;0,2232;e
500 bis unter 2 000 MWh;0,0718;e;0,1608;e;0,1989;e
2 000 bis unter 20 000 MWh;0,0623;e;0,1361;e;0,1781;e
20 000 bis unter 70 000 MWh;0,0513;e;0,1093;e;0,1479;e
70 000 bis unter 150 000 MWh;0,0447;e;0,0925;e;0,1278;e
150 000 MWh und mehr;0,0348;e;0,0768;e;0,1114;e
Insgesamt;0,0644;e;0,1373;e;0,1756;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 15.02.2026 / 14:46:38
