Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
# Renewables.ninja Wind power (Point API) - 50.864; 7.157 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Paris; electricity in kW;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Paris""";" ""electricity"": ""kW""}";" ""params"": {""local_time"": ""true""";" ""header"": ""true""";" ""lat"": ""50.8645""";" ""lon"": ""7.1575""";" ""date_from"": ""2019-01-01""";" ""date_to"": ""2019-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""6000""";" ""height"": ""120""";" ""turbine"": ""Enercon E138 3500""";" ""raw"": ""false""}}"
time;local_time;electricity;;;;;;;;;;;
2019-01-01 00:00;2019-01-01 01:00;1933.215;;;;;;;;;;;
2019-01-01 01:00;2019-01-01 02:00;2173.791;;;;;;;;;;;
2019-01-01 02:00;2019-01-01 03:00;2391.499;;;;;;;;;;;
2019-01-01 03:00;2019-01-01 04:00;2765.914;;;;;;;;;;;
2019-01-01 04:00;2019-01-01 05:00;3129.427;;;;;;;;;;;
2019-01-01 05:00;2019-01-01 06:00;3074.937;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 07:00;3340.860;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 08:00;3486.692;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 09:00;3780.159;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 10:00;3687.417;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 11:00;3877.174;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 12:00;3747.571;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 13:00;3613.678;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 14:00;3632.401;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 15:00;3709.814;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 16:00;4016.423;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 17:00;4242.471;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 18:00;4446.686;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 19:00;4442.466;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 20:00;4403.130;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 21:00;4214.020;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 22:00;4354.280;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 23:00;4542.488;;;;;;;;;;;
2019-01-01 23:00;2019-01-02 00:00;4397.791;;;;;;;;;;;
2019-01-02 00:00;2019-01-02 01:00;4053.925;;;;;;;;;;;
2019-01-02 01:00;2019-01-02 02:00;4470.630;;;;;;;;;;;
2019-01-02 02:00;2019-01-02 03:00;4632.307;;;;;;;;;;;
2019-01-02 03:00;2019-01-02 04:00;4713.627;;;;;;;;;;;
2019-01-02 04:00;2019-01-02 05:00;4629.385;;;;;;;;;;;
2019-01-02 05:00;2019-01-02 06:00;4513.758;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 07:00;4215.781;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 08:00;4070.682;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 09:00;4028.943;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 10:00;3836.027;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 11:00;3768.050;;;;;;;;;;;
2019-01-02 11:00;2019-01-02 12:00;3879.948;;;;;;;;;;;
2019-01-02 12:00;2019-01-02 13:00;3868.958;;;;;;;;;;;
2019-01-02 13:00;2019-01-02 14:00;3644.853;;;;;;;;;;;
2019-01-02 14:00;2019-01-02 15:00;3320.988;;;;;;;;;;;
2019-01-02 15:00;2019-01-02 16:00;3376.234;;;;;;;;;;;
2019-01-02 16:00;2019-01-02 17:00;3299.843;;;;;;;;;;;
2019-01-02 17:00;2019-01-02 18:00;3011.326;;;;;;;;;;;
2019-01-02 18:00;2019-01-02 19:00;2600.008;;;;;;;;;;;
2019-01-02 19:00;2019-01-02 20:00;2081.620;;;;;;;;;;;
2019-01-02 20:00;2019-01-02 21:00;1699.426;;;;;;;;;;;
2019-01-02 21:00;2019-01-02 22:00;1477.254;;;;;;;;;;;
2019-01-02 22:00;2019-01-02 23:00;1280.419;;;;;;;;;;;
2019-01-02 23:00;2019-01-03 00:00;1122.850;;;;;;;;;;;
2019-01-03 00:00;2019-01-03 01:00;1058.071;;;;;;;;;;;
2019-01-03 01:00;2019-01-03 02:00;993.240;;;;;;;;;;;
2019-01-03 02:00;2019-01-03 03:00;989.899;;;;;;;;;;;
2019-01-03 03:00;2019-01-03 04:00;1186.532;;;;;;;;;;;
2019-01-03 04:00;2019-01-03 05:00;1367.954;;;;;;;;;;;
2019-01-03 05:00;2019-01-03 06:00;1638.712;;;;;;;;;;;
2019-01-03 06:00;2019-01-03 07:00;1734.479;;;;;;;;;;;
2019-01-03 07:00;2019-01-03 08:00;1706.165;;;;;;;;;;;
2019-01-03 08:00;2019-01-03 09:00;1611.384;;;;;;;;;;;
2019-01-03 09:00;2019-01-03 10:00;1498.073;;;;;;;;;;;
2019-01-03 10:00;2019-01-03 11:00;1532.981;;;;;;;;;;;
2019-01-03 11:00;2019-01-03 12:00;1749.135;;;;;;;;;;;
2019-01-03 12:00;2019-01-03 13:00;1829.087;;;;;;;;;;;
2019-01-03 13:00;2019-01-03 14:00;1917.527;;;;;;;;;;;
2019-01-03 14:00;2019-01-03 15:00;2173.332;;;;;;;;;;;
2019-01-03 15:00;2019-01-03 16:00;2572.383;;;;;;;;;;;
2019-01-03 16:00;2019-01-03 17:00;2726.438;;;;;;;;;;;
2019-01-03 17:00;2019-01-03 18:00;2564.349;;;;;;;;;;;
2019-01-03 18:00;2019-01-03 19:00;2283.534;;;;;;;;;;;
2019-01-03 19:00;2019-01-03 20:00;1830.084;;;;;;;;;;;
2019-01-03 20:00;2019-01-03 21:00;1531.539;;;;;;;;;;;
2019-01-03 21:00;2019-01-03 22:00;1267.081;;;;;;;;;;;
2019-01-03 22:00;2019-01-03 23:00;1036.228;;;;;;;;;;;
2019-01-03 23:00;2019-01-04 00:00;708.164;;;;;;;;;;;
2019-01-04 00:00;2019-01-04 01:00;519.192;;;;;;;;;;;
2019-01-04 01:00;2019-01-04 02:00;470.191;;;;;;;;;;;
2019-01-04 02:00;2019-01-04 03:00;482.153;;;;;;;;;;;
2019-01-04 03:00;2019-01-04 04:00;586.469;;;;;;;;;;;
2019-01-04 04:00;2019-01-04 05:00;694.255;;;;;;;;;;;
2019-01-04 05:00;2019-01-04 06:00;839.032;;;;;;;;;;;
2019-01-04 06:00;2019-01-04 07:00;1072.736;;;;;;;;;;;
2019-01-04 07:00;2019-01-04 08:00;1207.253;;;;;;;;;;;
2019-01-04 08:00;2019-01-04 09:00;1180.890;;;;;;;;;;;
2019-01-04 09:00;2019-01-04 10:00;1470.059;;;;;;;;;;;
2019-01-04 10:00;2019-01-04 11:00;1773.036;;;;;;;;;;;
2019-01-04 11:00;2019-01-04 12:00;2015.635;;;;;;;;;;;
2019-01-04 12:00;2019-01-04 13:00;2405.248;;;;;;;;;;;
2019-01-04 13:00;2019-01-04 14:00;2507.312;;;;;;;;;;;
2019-01-04 14:00;2019-01-04 15:00;2574.609;;;;;;;;;;;
2019-01-04 15:00;2019-01-04 16:00;2754.689;;;;;;;;;;;
2019-01-04 16:00;2019-01-04 17:00;3171.268;;;;;;;;;;;
2019-01-04 17:00;2019-01-04 18:00;3110.596;;;;;;;;;;;
2019-01-04 18:00;2019-01-04 19:00;2965.642;;;;;;;;;;;
2019-01-04 19:00;2019-01-04 20:00;2955.550;;;;;;;;;;;
2019-01-04 20:00;2019-01-04 21:00;2920.264;;;;;;;;;;;
2019-01-04 21:00;2019-01-04 22:00;2863.029;;;;;;;;;;;
2019-01-04 22:00;2019-01-04 23:00;2803.289;;;;;;;;;;;
2019-01-04 23:00;2019-01-05 00:00;2818.391;;;;;;;;;;;
2019-01-05 00:00;2019-01-05 01:00;2848.605;;;;;;;;;;;
2019-01-05 01:00;2019-01-05 02:00;2922.639;;;;;;;;;;;
2019-01-05 02:00;2019-01-05 03:00;3095.577;;;;;;;;;;;
2019-01-05 03:00;2019-01-05 04:00;3362.395;;;;;;;;;;;
2019-01-05 04:00;2019-01-05 05:00;3873.154;;;;;;;;;;;
2019-01-05 05:00;2019-01-05 06:00;4244.002;;;;;;;;;;;
2019-01-05 06:00;2019-01-05 07:00;4271.694;;;;;;;;;;;
2019-01-05 07:00;2019-01-05 08:00;4430.323;;;;;;;;;;;
2019-01-05 08:00;2019-01-05 09:00;4401.847;;;;;;;;;;;
2019-01-05 09:00;2019-01-05 10:00;4330.136;;;;;;;;;;;
2019-01-05 10:00;2019-01-05 11:00;4164.938;;;;;;;;;;;
2019-01-05 11:00;2019-01-05 12:00;4380.904;;;;;;;;;;;
2019-01-05 12:00;2019-01-05 13:00;4402.042;;;;;;;;;;;
2019-01-05 13:00;2019-01-05 14:00;4355.427;;;;;;;;;;;
2019-01-05 14:00;2019-01-05 15:00;4407.239;;;;;;;;;;;
2019-01-05 15:00;2019-01-05 16:00;4329.878;;;;;;;;;;;
2019-01-05 16:00;2019-01-05 17:00;4312.739;;;;;;;;;;;
2019-01-05 17:00;2019-01-05 18:00;4257.398;;;;;;;;;;;
2019-01-05 18:00;2019-01-05 19:00;4178.267;;;;;;;;;;;
2019-01-05 19:00;2019-01-05 20:00;4004.162;;;;;;;;;;;
2019-01-05 20:00;2019-01-05 21:00;3912.849;;;;;;;;;;;
2019-01-05 21:00;2019-01-05 22:00;3835.796;;;;;;;;;;;
2019-01-05 22:00;2019-01-05 23:00;3744.463;;;;;;;;;;;
2019-01-05 23:00;2019-01-06 00:00;3705.596;;;;;;;;;;;
2019-01-06 00:00;2019-01-06 01:00;3634.674;;;;;;;;;;;
2019-01-06 01:00;2019-01-06 02:00;3598.444;;;;;;;;;;;
2019-01-06 02:00;2019-01-06 03:00;3679.850;;;;;;;;;;;
2019-01-06 03:00;2019-01-06 04:00;3633.833;;;;;;;;;;;
2019-01-06 04:00;2019-01-06 05:00;3439.428;;;;;;;;;;;
2019-01-06 05:00;2019-01-06 06:00;3168.913;;;;;;;;;;;
2019-01-06 06:00;2019-01-06 07:00;2845.289;;;;;;;;;;;
2019-01-06 07:00;2019-01-06 08:00;2709.341;;;;;;;;;;;
2019-01-06 08:00;2019-01-06 09:00;2452.073;;;;;;;;;;;
2019-01-06 09:00;2019-01-06 10:00;2242.215;;;;;;;;;;;
2019-01-06 10:00;2019-01-06 11:00;2051.839;;;;;;;;;;;
2019-01-06 11:00;2019-01-06 12:00;2015.701;;;;;;;;;;;
2019-01-06 12:00;2019-01-06 13:00;2048.701;;;;;;;;;;;
2019-01-06 13:00;2019-01-06 14:00;1964.676;;;;;;;;;;;
2019-01-06 14:00;2019-01-06 15:00;1828.841;;;;;;;;;;;
2019-01-06 15:00;2019-01-06 16:00;2149.890;;;;;;;;;;;
2019-01-06 16:00;2019-01-06 17:00;2145.205;;;;;;;;;;;
2019-01-06 17:00;2019-01-06 18:00;2054.920;;;;;;;;;;;
2019-01-06 18:00;2019-01-06 19:00;1941.941;;;;;;;;;;;
2019-01-06 19:00;2019-01-06 20:00;1757.192;;;;;;;;;;;
2019-01-06 20:00;2019-01-06 21:00;1648.263;;;;;;;;;;;
2019-01-06 21:00;2019-01-06 22:00;1456.274;;;;;;;;;;;
2019-01-06 22:00;2019-01-06 23:00;1315.793;;;;;;;;;;;
2019-01-06 23:00;2019-01-07 00:00;1107.522;;;;;;;;;;;
2019-01-07 00:00;2019-01-07 01:00;817.453;;;;;;;;;;;
2019-01-07 01:00;2019-01-07 02:00;681.269;;;;;;;;;;;
2019-01-07 02:00;2019-01-07 03:00;672.986;;;;;;;;;;;
2019-01-07 03:00;2019-01-07 04:00;662.763;;;;;;;;;;;
2019-01-07 04:00;2019-01-07 05:00;609.869;;;;;;;;;;;
2019-01-07 05:00;2019-01-07 06:00;650.170;;;;;;;;;;;
2019-01-07 06:00;2019-01-07 07:00;784.554;;;;;;;;;;;
2019-01-07 07:00;2019-01-07 08:00;938.251;;;;;;;;;;;
2019-01-07 08:00;2019-01-07 09:00;1016.939;;;;;;;;;;;
2019-01-07 09:00;2019-01-07 10:00;1040.178;;;;;;;;;;;
2019-01-07 10:00;2019-01-07 11:00;1081.748;;;;;;;;;;;
2019-01-07 11:00;2019-01-07 12:00;1258.410;;;;;;;;;;;
2019-01-07 12:00;2019-01-07 13:00;1470.935;;;;;;;;;;;
2019-01-07 13:00;2019-01-07 14:00;1757.536;;;;;;;;;;;
2019-01-07 14:00;2019-01-07 15:00;2080.266;;;;;;;;;;;
2019-01-07 15:00;2019-01-07 16:00;2726.407;;;;;;;;;;;
2019-01-07 16:00;2019-01-07 17:00;3347.612;;;;;;;;;;;
2019-01-07 17:00;2019-01-07 18:00;3764.500;;;;;;;;;;;
