Tabelle: 61243-0014
Erdgaspreise für Nicht-Haushalte: Deutschland, Halbjahre,;;;
Jahresverbrauchsklassen, Preisarten;;;
Durchschnittspreise für Strom und Gas;;;;;;
Deutschland;;;;;;
;Erdgaspreise für Nicht-Haushalte;;;;;
;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;;Durchschnittspreise ohne Umsatzsteuer u.a. abz.St.;;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;
;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh
2019;;;;;;
1. Halbjahr;;;;;;
unter 278 MWh;-;;-;;-;
278 bis unter 2 778 MWh;-;;-;;-;
2 778 bis unter 27 778 MWh;-;;-;;-;
27 778 bis unter 277 778 MWh;-;;-;;-;
277 778 bis unter 1 111 111 MWh;-;;-;;-;
1 111 111 MWh und mehr;-;;-;;-;
Insgesamt;-;;-;;-;
2. Halbjahr;;;;;;
unter 278 MWh;0,0362;e;0,0423;e;0,0503;e
278 bis unter 2 778 MWh;0,0315;e;0,0372;e;0,0445;e
2 778 bis unter 27 778 MWh;0,0253;e;0,0300;e;0,0367;e
27 778 bis unter 277 778 MWh;0,0212;e;0,0250;e;0,0317;e
277 778 bis unter 1 111 111 MWh;0,0165;e;0,0190;e;0,0261;e
1 111 111 MWh und mehr;0,0157;e;0,0183;e;0,0252;e
Insgesamt;0,0268;e;0,0315;e;0,0387;e
__________
© Statistisches Bundesamt (Destatis), 2026
Stand: 15.02.2026 / 14:54:17
