MESS_DATUM,T_aussen_C,COP
2019010100,8.2,5.749067164179102
2019010101,8.1,5.7276951672862495
2019010102,8.1,5.7276951672862495
2019010103,7.7,5.643772893772891
2019010104,7.1,5.52240143369176
2019010105,6.8,5.463652482269505
2019010106,6.6,5.4251760563380325
2019010107,6.8,5.463652482269505
2019010108,6.8,5.463652482269505
2019010109,6.9,5.483096085409247
2019010110,6.9,5.483096085409247
2019010111,6.9,5.483096085409247
2019010112,6.8,5.463652482269505
2019010113,7.2,5.542266187050357
2019010114,7.5,5.602727272727273
2019010115,7.4,5.582427536231879
2019010116,7.0,5.502678571428571
2019010117,6.6,5.4251760563380325
2019010118,6.0,5.312931034482758
2019010119,6.0,5.312931034482758
2019010120,5.0,5.135833333333333
2019010121,4.1,4.98624595469256
2019010122,4.4,5.035130718954244
2019010123,4.8,5.101821192052982
2019010200,4.3,5.018729641693812
2019010201,3.8,4.938301282051284
2019010202,4.2,5.002435064935063
2019010203,4.1,4.98624595469256
2019010204,3.8,4.938301282051284
2019010205,3.9,4.9541800643086775
2019010206,4.0,4.97016129032258
2019010207,3.5,4.891269841269841
2019010208,3.5,4.891269841269841
2019010209,4.0,4.97016129032258
2019010210,4.5,5.051639344262295
2019010211,4.9,5.118770764119597
2019010212,5.9,5.294673539518896
2019010213,5.9,5.294673539518896
2019010214,5.9,5.294673539518896
2019010215,4.7,5.084983498349833
2019010216,3.6,4.906847133757965
2019010217,2.0,4.668939393939394
2019010218,1.2,4.55843195266272
2019010219,0.2,4.4274425287356305
2019010220,0.0,4.402142857142857
2019010221,0.1,4.414756446991406
2019010222,-0.4,4.352401129943505
2019010223,-1.2,4.25621546961326
2019010300,-2.0,4.164189189189189
2019010301,-1.1,4.268005540166202
2019010302,-0.4,4.352401129943505
2019010303,0.0,4.402142857142857
2019010304,0.2,4.4274425287356305
2019010305,0.2,4.4274425287356305
2019010306,0.1,4.414756446991406
2019010307,0.2,4.4274425287356305
2019010308,0.3,4.440201729106629
2019010309,1.1,4.544985250737466
2019010310,2.2,4.697408536585364
2019010311,2.9,4.799844236760121
2019010312,4.1,4.98624595469256
2019010313,4.3,5.018729641693812
2019010314,4.2,5.002435064935063
2019010315,4.3,5.018729641693812
2019010316,3.6,4.906847133757965
2019010317,3.8,4.938301282051284
2019010318,4.0,4.97016129032258
2019010319,4.2,5.002435064935063
2019010320,3.9,4.9541800643086775
2019010321,3.6,4.906847133757965
2019010322,2.2,4.697408536585364
2019010323,1.9,4.6548338368580024
2019010400,1.9,4.6548338368580024
2019010401,1.6,4.613023952095811
2019010402,1.5,4.599253731343283
2019010403,0.9,4.518328445747797
2019010404,1.6,4.613023952095811
2019010405,1.2,4.55843195266272
2019010406,1.7,4.626876876876875
2019010407,2.3,4.7117737003058116
2019010408,2.4,4.726226993865027
2019010409,2.0,4.668939393939394
2019010410,2.9,4.799844236760121
2019010411,3.4,4.875791139240502
2019010412,3.9,4.9541800643086775
2019010413,4.4,5.035130718954244
2019010414,4.2,5.002435064935063
2019010415,3.8,4.938301282051284
2019010416,3.5,4.891269841269841
2019010417,3.3,4.860410094637225
2019010418,3.2,4.8451257861635195
2019010419,3.1,4.829937304075238
2019010420,2.8,4.784937888198759
2019010421,2.8,4.784937888198759
2019010422,2.9,4.799844236760121
2019010423,3.1,4.829937304075238
2019010500,3.5,4.891269841269841
2019010501,3.8,4.938301282051284
2019010502,4.2,5.002435064935063
2019010503,4.1,4.98624595469256
2019010504,4.4,5.035130718954244
2019010505,4.6,5.068256578947372
2019010506,5.1,5.1530100334448194
2019010507,5.7,5.258532423208188
2019010508,6.2,5.349826388888887
2019010509,6.1,5.331314878892737
2019010510,6.3,5.368466898954706
2019010511,6.3,5.368466898954706
2019010512,6.3,5.368466898954706
2019010513,6.5,5.406140350877193
2019010514,6.3,5.368466898954706
2019010515,6.3,5.368466898954706
2019010516,5.9,5.294673539518896
2019010517,5.9,5.294673539518896
2019010518,5.7,5.258532423208188
2019010519,5.7,5.258532423208188
2019010520,5.8,5.276541095890413
2019010521,5.7,5.258532423208188
2019010522,5.6,5.240646258503405
2019010523,5.6,5.240646258503405
2019010600,5.5,5.222881355932203
2019010601,5.1,5.1530100334448194
2019010602,5.1,5.1530100334448194
2019010603,5.1,5.1530100334448194
2019010604,5.0,5.135833333333333
2019010605,5.0,5.135833333333333
2019010606,5.1,5.1530100334448194
2019010607,4.9,5.118770764119597
2019010608,4.9,5.118770764119597
2019010609,4.8,5.101821192052982
2019010610,4.9,5.118770764119597
2019010611,5.1,5.1530100334448194
2019010612,5.2,5.170302013422816
2019010613,5.4,5.205236486486482
2019010614,5.6,5.240646258503405
2019010615,5.2,5.170302013422816
2019010616,4.7,5.084983498349833
2019010617,4.9,5.118770764119597
2019010618,4.9,5.118770764119597
2019010619,5.1,5.1530100334448194
2019010620,4.9,5.118770764119597
2019010621,4.7,5.084983498349833
2019010622,4.7,5.084983498349833
2019010623,4.6,5.068256578947372
2019010700,4.5,5.051639344262295
2019010701,4.3,5.018729641693812
2019010702,4.1,4.98624595469256
2019010703,4.0,4.97016129032258
2019010704,3.7,4.92252396166134
2019010705,2.7,4.770123839009286
2019010706,2.6,4.755401234567905
2019010707,2.4,4.726226993865027
2019010708,1.9,4.6548338368580024
2019010709,3.2,4.8451257861635195
2019010710,4.3,5.018729641693812
2019010711,5.0,5.135833333333333
2019010712,5.5,5.222881355932203
2019010713,5.4,5.205236486486482
2019010714,5.0,5.135833333333333
2019010715,5.4,5.205236486486482
2019010716,5.5,5.222881355932203
2019010717,5.6,5.240646258503405
2019010718,5.5,5.222881355932203
2019010719,5.7,5.258532423208188
2019010720,5.7,5.258532423208188
2019010721,6.2,5.349826388888887
2019010722,6.8,5.463652482269505
2019010723,7.7,5.643772893772891
2019010800,7.6,5.623175182481756
2019010801,7.9,5.685424354243537
2019010802,7.2,5.542266187050357
2019010803,7.0,5.502678571428571
2019010804,6.5,5.406140350877193
2019010805,6.0,5.312931034482758
2019010806,6.1,5.331314878892737
2019010807,6.4,5.387237762237757
2019010808,6.5,5.406140350877193
2019010809,6.0,5.312931034482758
2019010810,6.0,5.312931034482758
2019010811,6.5,5.406140350877193
2019010812,6.5,5.406140350877193
2019010813,6.7,5.444346289752648
2019010814,6.5,5.406140350877193
2019010815,6.0,5.312931034482758
2019010816,5.2,5.170302013422816
2019010817,5.5,5.222881355932203
2019010818,5.8,5.276541095890413
2019010819,6.0,5.312931034482758
2019010820,5.4,5.205236486486482
2019010821,5.3,5.1877104377104395
2019010822,5.0,5.135833333333333
2019010823,4.6,5.068256578947372
2019010900,4.1,4.98624595469256
2019010901,3.6,4.906847133757965
2019010902,4.0,4.97016129032258
2019010903,4.1,4.98624595469256
2019010904,3.3,4.860410094637225
2019010905,3.4,4.875791139240502
2019010906,2.4,4.726226993865027
2019010907,0.7,4.491982507288628
2019010908,1.7,4.626876876876875
2019010909,2.2,4.697408536585364
2019010910,3.0,4.81484375
