MESS_DATUM,T_aussen_C,Heizlast_kW
2019010100,8.2,645.459115
2019010101,8.1,650.9291075
2019010102,8.1,650.9291075
2019010103,7.7,672.8090775000001
2019010104,7.1,705.6290325
2019010105,6.8,722.03901
2019010106,6.6,732.9789949999999
2019010107,6.8,722.03901
2019010108,6.8,277.55901
2019010109,6.9,0.0
2019010110,6.9,0.0
2019010111,6.9,0.0
2019010112,6.8,0.0
2019010113,7.2,0.0
2019010114,7.5,0.0
2019010115,7.4,22.579054999999936
2019010116,7.0,711.099025
2019010117,6.6,732.9789949999999
2019010118,6.0,765.79895
2019010119,6.0,765.79895
2019010120,5.0,820.498875
2019010121,4.1,869.7288075
2019010122,4.4,853.3188299999999
2019010123,4.8,831.43886
2019010200,4.3,858.7888225
2019010201,3.8,886.138785
2019010202,4.2,864.2588149999999
2019010203,4.1,869.7288075
2019010204,3.8,886.138785
2019010205,3.9,880.6687925000001
2019010206,4.0,875.1988
2019010207,3.5,902.5487625
2019010208,3.5,0.0
2019010209,4.0,0.0
2019010210,4.5,0.0
2019010211,4.9,0.0
2019010212,5.9,0.0
2019010213,5.9,0.0
2019010214,5.9,0.0
2019010215,4.7,0.0
2019010216,3.6,897.0787699999998
2019010217,2.0,984.59865
2019010218,1.2,1028.35859
2019010219,0.2,1083.0585150000002
2019010220,0.0,1093.9985
2019010221,0.1,1088.5285075
2019010222,-0.4,1115.8784699999999
2019010223,-1.2,1159.63841
2019010300,-2.0,1203.3983500000002
2019010301,-1.1,1154.1684175000003
2019010302,-0.4,1115.8784699999999
2019010303,0.0,1093.9985
2019010304,0.2,1083.0585150000002
2019010305,0.2,1083.0585150000002
2019010306,0.1,1088.5285075
2019010307,0.2,1083.0585150000002
2019010308,0.3,188.70852249999996
2019010309,1.1,0.0
2019010310,2.2,0.0
2019010311,2.9,0.0
2019010312,4.1,0.0
2019010313,4.3,0.0
2019010314,4.2,0.0
2019010315,4.3,0.0
2019010316,3.6,897.0787699999998
2019010317,3.8,886.138785
2019010318,4.0,875.1988
2019010319,4.2,864.2588149999999
2019010320,3.9,880.6687925000001
2019010321,3.6,897.0787699999998
2019010322,2.2,973.658665
2019010323,1.9,990.0686425000001
2019010400,1.9,990.0686425000001
2019010401,1.6,1006.4786199999999
2019010402,1.5,1011.9486125000001
2019010403,0.9,1044.7685675
